type,L1,L2,L3,L4,manufacturer_group,tax_type
その他,自転車修理 (シティサイクル),前カゴ,ネジ取付,,,
その他,自転車修理 (シティサイクル),前カゴ,前カゴ交換,,,
その他,自転車修理 (シティサイクル),前カゴ,砲弾ライト付前カゴ取付,,,
その他,自転車修理 (シティサイクル),前カゴ,カゴ足取付,,,
その他,自転車修理 (シティサイクル),前カゴ,ランプブラケット交換,,,
その他,自転車修理 (シティサイクル),後カゴ,ネジ取付,,,
その他,自転車修理 (シティサイクル),後カゴ,後カゴ交換,,,
その他,自転車修理 (シティサイクル),両立スタンド取付、交換,,,,
その他,自転車修理 (シティサイクル),1本スタンド取付、交換,,,,
その他,自転車修理 (シティサイクル),スタンドスプリング交換,,,,
その他,自転車修理 (シティサイクル),泥除け,前泥除け交換,,,
その他,自転車修理 (シティサイクル),泥除け,後泥除け交換,,,
その他,自転車修理 (シティサイクル),泥除け,ステー取付,,,
その他,自転車修理 (シティサイクル),泥除け,ブリッジ金具取付,,,
その他,自転車修理 (シティサイクル),鍵交換,リング錠・ワイヤー錠切断,,,
その他,自転車修理 (シティサイクル),鍵交換,後リング錠,,,
その他,自転車修理 (シティサイクル),鍵交換,後リング錠（一発二錠）,,,
その他,自転車修理 (シティサイクル),鍵交換,前鍵,,,
その他,自転車修理 (シティサイクル),鍵交換,ワンキーツーロック,,,
その他,自転車修理 (シティサイクル),ライト,電球交換（接触不良調整含む）,,,
その他,自転車修理 (シティサイクル),ライト,ブロックダイナモ交換,,,
その他,自転車修理 (シティサイクル),ライト,砲弾型ライト交換,,,
その他,自転車修理 (シティサイクル),リアキャリア取付、交換,,,,
その他,自転車修理 (シティサイクル),前子供乗せ取付,,,,
その他,自転車修理 (シティサイクル),後子供乗せ取付,ヘッドレスト無し,,,
その他,自転車修理 (シティサイクル),後子供乗せ取付,ヘッドレスト付き,,,
その他,自転車修理 (シティサイクル),同乗器用レインカバー,組立・取付位置の調整が必要な製品,,,
その他,自転車修理 (シティサイクル),同乗器用レインカバー,取付位置の調整が必要な製品,,,
その他,自転車修理 (シティサイクル),補助輪,補助輪交換,,,
その他,自転車修理 (シティサイクル),補助輪,外装用補助輪交換,,,
その他,自転車修理 (シティサイクル),手押し棒取付,,,,
その他,自転車修理 (シティサイクル),かじ取りケーブル交換,,,,
その他,自転車修理 (シティサイクル),パーキングストッパー操作ケーブル交換,,,,
その他,自転車修理 (シティサイクル),フロントフォーク交換（一般）,,,,
その他,自転車修理 (シティサイクル),バックミラー取付け,,,,
その他,自転車修理 (シティサイクル),ドレスガード取付（工具使用した場合）,,,,
その他,自転車修理 (シティサイクル),注油,,,,
その他,自転車修理 (シティサイクル),ローラーブレーキグリス注入,,,,
その他,自転車修理 (シティサイクル),ベル（ブザー）取付,,,,
その他,自転車修理 (シティサイクル),セーフティー点検,,,,
その他,自転車修理 (シティサイクル),ＴＳ点検・一式点検,,,,
その他,自転車修理 (シティサイクル),へんしんバイク・ストライダー14X,自転車化,,,
その他,自転車修理 (シティサイクル),洗車,シティサイクル,,,
その他,自転車修理（電動アシスト）,タイヤ・チューブ交換,モーター式前輪,,,
その他,自転車修理（電動アシスト）,タイヤ・チューブ交換,モーター式後輪,,,
その他,自転車修理（電動アシスト）,後ブレーキケーブル交換,,,,
その他,自転車修理（電動アシスト）,変速ケーブル交換,,,,
その他,自転車修理（電動アシスト）,ライト交換,,,,
その他,自転車修理（電動アシスト）,スピードセンサー交換,,,,
その他,自転車修理（電動アシスト）,リング錠・バッテリー錠交換,鍵がある場合,,,
その他,自転車修理（電動アシスト）,リング錠・バッテリー錠交換,鍵を紛失している場合,,,
その他,自転車修理（電動アシスト）,テンションプーリー交換,,,,
その他,自転車修理（電動アシスト）,モーター大スプロケット交換,,,,
その他,自転車修理（電動アシスト）,モーター小スプロケット交換,,,,
その他,自転車修理（電動アシスト）,チェーン交換,,,,
